 unit--timestamp[ms];bma280_x[mg];bma280_y[mg];bma280_z[mg];bmg160_x[mDeg];bmg160_y[mDeg];bmg160_z[mDeg];bmi160_a_x[mg];bmi160_a_y[mg];bmi160_a_z[mg];bmi160_g_x[mDeg];bmi160_g_y[mDeg];bmi160_g_z[mDeg];bmm150_x[microT];bmm150_y[microT];bmm150_z[microT];bmm150_res;bme280_temp[mDeg];bme280_press[Pa];bme280_hum[rh];max44009_bright[mLux];
75000;5;154;1054;-61;-549;61;-50;125;1049;366;122;122;-56;60;25;6075;34590;100842;29;60840;
75200;5;148;1060;-122;-488;0;-50;124;1051;366;183;122;-56;59;26;6077;34590;100843;29;60480;
75400;1;144;1050;-61;-305;0;-49;121;1047;305;122;61;-56;61;26;6077;34580;100843;29;60480;
75600;1;138;1048;244;-366;122;-63;113;1049;610;0;122;-57;61;25;6078;34580;100843;29;60480;
75800;7;201;1052;-366;-671;-305;-41;133;1051;-183;-122;-183;-57;61;25;6076;34580;100843;29;60840;
76000;5;162;1054;-427;-427;-122;-42;140;1057;-122;122;122;-57;60;25;6076;34580;100843;29;61560;
76200;3;158;1050;0;-305;-61;-48;133;1054;610;183;183;-57;59;25;6079;34590;100843;29;63000;
76400;5;152;1054;0;-427;61;-50;126;1047;244;244;183;-57;60;25;6078;34590;100842;29;69480;
76600;1;150;1056;-61;-427;61;-49;122;1053;244;183;244;-55;60;25;6077;34590;100843;29;72000;
76800;-3;191;1072;-61;183;366;-28;121;1037;305;793;549;-57;61;26;6077;34590;100844;29;72720;
77000;-1;167;1083;-549;61;1159;-42;123;1052;0;427;1464;-55;61;26;6076;34590;100843;29;73440;
77200;7;160;1062;61;0;122;-17;134;1041;549;305;305;-56;61;25;6077;34590;100843;29;73080;
77400;7;158;1050;-244;-61;2014;-35;121;1063;61;671;2319;-54;62;25;6076;34590;100843;29;72720;
77600;17;136;1048;-61;-244;1098;-16;132;1034;549;244;1220;-54;63;26;6078;34590;100843;29;71640;
77800;11;115;1068;-122;-244;732;-41;94;1062;305;244;976;-53;65;25;6077;34590;100842;29;70920;
78000;5;105;1048;-244;-732;-2807;-32;112;1078;122;-183;-2685;-52;66;23;6076;34590;100842;29;70200;
78200;5;101;1087;366;183;-4028;-36;97;1066;854;732;-3784;-52;69;23;6076;34590;100843;29;69480;
78400;5;177;1029;122;1159;0;-26;132;1052;671;1770;610;-50;71;21;6077;34590;100842;29;80640;
78600;-13;150;1017;305;-61;1708;-57;147;1083;732;549;1647;-50;74;19;6077;34590;100842;29;113040;
78800;-13;171;1064;183;-488;183;-87;136;1060;122;0;366;-47;76;15;6076;34590;100843;29;82800;
79000;7;146;1000;854;-610;244;-71;112;1007;1464;-122;427;-47;78;15;6077;34590;100843;29;96480;
79200;-9;134;1062;-183;122;122;-72;132;1078;305;671;122;-47;78;11;6076;34590;100843;29;127440;
79400;5;107;1007;305;732;1586;-25;126;991;854;1342;1770;-47;80;9;6076;34590;100844;29;138240;
79600;5;154;1015;671;-1159;2441;-69;128;1032;1098;-549;2746;-47;81;6;6077;34590;100843;29;144720;
79800;5;144;1062;-671;61;2807;-51;135;1074;-305;549;3051;-47;83;3;6076;34590;100843;29;146160;
