, unit--timestamp[ms],bma280_x[mg],bma280_y[mg],bma280_z[mg],bmg160_x[mDeg],bmg160_y[mDeg],bmg160_z[mDeg],bmi160_a_x[mg],bmi160_a_y[mg],bmi160_a_z[mg],bmi160_g_x[mDeg],bmi160_g_y[mDeg],bmi160_g_z[mDeg],bmm150_x[microT],bmm150_y[microT],bmm150_z[microT],bmm150_res,bme280_temp[mDeg],bme280_press[Pa],bme280_hum[rh],max44009_bright[mLux],Class
0,30000,5,134,1058,61,-366,-305,-44,108,1050,427,305,-122,-87,-54,34,6030,35760,100864,29,213120,1
1,30200,0,136,1083,122,-244,122,-42,114,1045,366,305,305,-88,-55,35,6032,35760,100864,29,216000,1
2,30400,7,130,1050,61,-427,732,-36,113,1073,488,183,976,-88,-53,33,6032,35760,100864,29,218880,1
3,30600,5,154,1068,61,0,1525,-39,105,1052,244,366,1708,-87,-53,35,6033,35760,100865,29,223200,1
4,30800,9,103,1062,61,-122,1098,-14,106,1033,305,488,1281,-87,-52,36,6032,35760,100864,29,223200,1
5,31000,5,148,1054,183,-732,-305,-20,117,1039,549,-61,0,-87,-52,37,6033,35760,100863,29,226080,1
6,31200,5,136,1085,366,-549,-1159,-27,121,1068,244,61,-976,-86,-50,39,6033,35760,100863,29,226080,1
7,31400,0,142,1089,183,-183,-1403,-47,124,1083,61,122,-1098,-85,-49,41,6032,35760,100864,29,226080,1
8,31600,-7,162,1080,-427,-122,-1953,-55,110,1074,-61,427,-1770,-83,-46,43,6031,35760,100864,29,224640,1
9,31800,-11,113,1054,427,122,-2136,-75,125,1042,915,671,-1770,-83,-45,46,6031,35760,100863,29,221760,1
10,32000,-35,72,1056,0,-244,-1525,-96,97,999,244,305,-1342,-81,-40,48,6033,35760,100864,29,221760,1
11,32200,5,156,1087,549,-854,-1098,-29,117,1030,854,-183,-793,-79,-38,50,6032,35760,100864,29,218880,1
12,32400,-19,132,1093,-122,366,-1831,-91,114,1073,427,915,-1708,-75,-35,52,6033,35760,100865,29,216000,1
13,32600,-19,130,1074,-732,-854,-2014,-77,99,1055,-183,-427,-1708,-74,-32,54,6031,35760,100864,29,214560,1
14,32800,7,103,1062,854,-1037,-1647,-59,120,1018,61,-305,-1647,-70,-29,57,6032,35750,100864,29,211680,1
15,33000,-5,113,1046,-854,-1037,-1770,-79,82,1041,-183,-732,-1464,-66,-25,57,6030,35750,100864,29,207360,1
16,33200,5,138,1062,-305,-61,-915,-35,106,1035,122,427,-549,-64,-22,56,6032,35750,100864,29,204480,1
17,33400,-15,144,1068,122,427,-183,-67,99,1062,305,1098,0,-59,-18,55,6032,35760,100864,29,200160,1
18,33600,-7,128,1076,-671,122,-488,-71,113,1068,-305,549,-366,-55,-15,53,6031,35750,100863,29,195840,1
19,33800,13,126,1015,-549,-488,366,-44,113,1052,-366,0,427,-52,-12,51,6033,35750,100865,29,192960,1
20,34000,5,119,1013,-549,-427,427,-18,71,999,-305,244,671,-50,-9,48,6031,35750,100865,29,191520,1
21,34200,1,150,1078,0,-183,976,-32,109,1072,488,671,1281,-48,-5,43,6031,35750,100865,29,190080,1
22,34400,-15,171,1072,-488,183,1037,-94,104,1075,244,427,1220,-47,-3,38,6032,35750,100864,29,187200,1
23,34600,-23,156,1042,-671,-183,549,-80,105,1058,-244,183,671,-48,-1,34,6032,35750,100865,29,184320,1
24,34800,5,93,1056,-305,-610,854,-24,87,1023,0,-61,915,-48,3,29,6032,35750,100864,29,182880,1
25,35000,5,142,1072,244,-1586,1525,-42,99,1063,1098,-793,1770,-49,4,23,6032,35750,100864,29,182160,1
